time,pos,cur,cmd_pos,cmd_cur
0.0,224,513,512,512
0.0,224,513,512,512
0.0,224,513,512,512
0.0,224,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.0,225,513,512,512
0.013572931289672852,226,513,512,512
0.015039443969726562,226,513,512,512
0.015039443969726562,225,512,512,512
0.015039443969726562,226,513,512,512
0.015039443969726562,226,513,512,512
0.015039443969726562,226,513,512,512
0.015039443969726562,226,513,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,226,514,512,512
0.015039443969726562,227,514,512,512
0.015039443969726562,227,514,512,512
0.015039443969726562,227,514,512,512
0.015039443969726562,227,514,512,512
0.015039443969726562,227,514,512,512
0.030226469039916992,227,514,512,512
0.031107664108276367,228,514,512,512
0.031107664108276367,228,514,512,512
0.03312349319458008,228,514,512,512
0.03312349319458008,228,514,512,512
0.034119367599487305,228,514,512,512
0.035123586654663086,228,515,512,512
0.03612685203552246,229,514,512,512
0.03696751594543457,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.037806034088134766,229,514,512,512
0.04678797721862793,229,514,512,512
0.04781031608581543,229,514,512,512
0.04850435256958008,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,230,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,513,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,513,512,512
0.049222707748413086,229,513,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.049222707748413086,229,514,512,512
0.0634760856628418,229,514,512,512
0.06412672996520996,229,514,512,512
0.06537103652954102,229,514,512,512
0.06537103652954102,229,514,512,512
0.06736159324645996,229,514,512,512
0.06736159324645996,229,514,512,512
0.06893110275268555,228,514,512,512
0.06943130493164062,228,514,512,512
0.07044649124145508,228,514,512,512
0.0714406967163086,228,514,512,512
0.07244038581848145,228,514,512,512
0.07244038581848145,228,514,512,512
0.07344269752502441,228,514,512,512
0.07444095611572266,227,514,512,512
0.07544088363647461,227,514,512,512
0.07644104957580566,227,514,512,512
0.07744216918945312,227,515,512,512
0.07844233512878418,227,514,512,512
0.07844233512878418,227,514,512,512
0.0804438591003418,227,514,512,512
0.08144545555114746,227,514,512,512
0.08174586296081543,226,514,512,512
0.08275055885314941,226,514,512,512
0.08374547958374023,226,514,512,512
0.08474397659301758,226,514,512,512
0.08584785461425781,226,514,512,512
0.08661580085754395,226,514,512,512
0.08661580085754395,226,514,512,512
0.08762574195861816,226,514,512,512
0.08862662315368652,226,515,512,512
0.08962678909301758,226,515,512,512
0.09062671661376953,226,514,512,512
0.09162735939025879,226,514,512,512
0.09262514114379883,225,514,512,512
0.0936272144317627,225,514,512,512
0.0936272144317627,225,514,512,512
0.09462738037109375,225,514,512,512
0.0956273078918457,225,514,512,512
0.0966331958770752,225,513,512,512
0.09763193130493164,225,514,512,512
0.09830307960510254,225,514,512,512
0.09960365295410156,225,514,512,512
0.10059928894042969,225,515,512,512
0.10159897804260254,225,515,512,512
0.10159897804260254,225,515,512,512
0.10321569442749023,225,515,512,512
0.10346460342407227,225,515,512,512
0.10447573661804199,225,515,512,512
0.10547637939453125,225,514,512,512
0.1064763069152832,225,515,512,512
0.10747623443603516,225,515,512,512
0.10747623443603516,225,515,512,512
0.10947895050048828,225,515,512,512
0.10947895050048828,225,515,512,512
0.11047673225402832,225,515,512,512
0.11147737503051758,225,515,512,512
0.11247730255126953,225,515,512,512
0.11347746849060059,225,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,226,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.11411690711975098,227,515,512,512
0.12945914268493652,227,515,512,512
0.12945914268493652,227,515,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,514,512,512
0.12945914268493652,228,514,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,515,512,512
0.12945914268493652,228,515,512,512
