time,pos,cur,cmd_pos,cmd_cur
0.0,302,496,512,512
0.0,303,497,512,512
0.001001119613647461,303,497,512,512
0.0020151138305664062,304,498,512,512
0.003003358840942383,305,498,512,512
0.0035669803619384766,305,498,512,512
0.0035669803619384766,306,498,512,512
0.0035669803619384766,306,499,512,512
0.0035669803619384766,308,499,512,512
0.0035669803619384766,308,499,512,512
0.0035669803619384766,309,499,512,512
0.0035669803619384766,310,499,512,512
0.0035669803619384766,312,499,512,512
0.010788679122924805,313,500,512,512
0.011931180953979492,315,500,512,512
0.012937784194946289,316,500,512,512
0.012937784194946289,319,500,512,512
0.013941764831542969,321,500,512,512
0.014941930770874023,324,501,512,512
0.015942096710205078,327,501,512,512
0.016954660415649414,329,501,512,512
0.017943382263183594,332,502,512,512
0.018943309783935547,334,502,512,512
0.018943309783935547,336,502,512,512
0.020942211151123047,338,503,512,512
0.020942211151123047,340,503,512,512
0.02194380760192871,343,503,512,512
0.02294445037841797,345,503,512,512
0.023944377899169922,348,503,512,512
0.024944543838500977,351,503,512,512
0.025957822799682617,354,502,512,512
0.026943683624267578,357,503,512,512
0.026943683624267578,360,503,512,512
0.02875232696533203,363,502,512,512
0.02951669692993164,367,502,512,512
0.02951669692993164,372,503,512,512
0.030525684356689453,375,502,512,512
0.0315248966217041,378,502,512,512
0.03252530097961426,381,503,512,512
0.03352546691894531,384,503,512,512
0.03452467918395996,386,503,512,512
0.035527944564819336,389,503,512,512
0.036527156829833984,392,503,512,512
0.03752470016479492,394,503,512,512
0.038524627685546875,395,503,512,512
0.03952527046203613,397,504,512,512
0.03952527046203613,398,504,512,512
0.040526628494262695,400,503,512,512
0.04152703285217285,401,503,512,512
0.04252791404724121,402,503,512,512
0.043527841567993164,403,503,512,512
0.044519901275634766,405,502,512,512
0.044519901275634766,406,502,512,512
0.044519901275634766,407,502,512,512
0.044519901275634766,408,502,512,512
0.044519901275634766,409,502,512,512
0.044519901275634766,410,501,512,512
0.044519901275634766,410,501,512,512
0.044519901275634766,410,502,512,512
0.044519901275634766,410,502,512,512
0.044519901275634766,409,502,512,512
0.044519901275634766,409,502,512,512
0.044519901275634766,407,502,512,512
0.044519901275634766,405,502,512,512
0.044519901275634766,404,502,512,512
0.044519901275634766,402,502,512,512
0.044519901275634766,399,502,512,512
0.044519901275634766,397,502,512,512
0.05935811996459961,395,502,512,512
0.060582876205444336,391,502,512,512
0.060582876205444336,389,501,512,512
0.06220579147338867,387,501,512,512
0.06220579147338867,385,501,512,512
0.06220579147338867,383,501,512,512
0.06220579147338867,382,500,512,512
0.06220579147338867,378,500,512,512
0.06220579147338867,376,501,512,512
0.06220579147338867,374,501,512,512
0.06220579147338867,370,501,512,512
0.06220579147338867,368,501,512,512
0.06220579147338867,365,501,512,512
0.06220579147338867,362,501,512,512
0.06220579147338867,360,501,512,512
0.06220579147338867,357,502,512,512
0.06220579147338867,354,502,512,512
0.06220579147338867,349,502,512,512
0.07519125938415527,346,502,512,512
0.07519125938415527,344,502,512,512
0.07519125938415527,341,502,512,512
0.07519125938415527,338,502,512,512
0.07519125938415527,336,502,512,512
0.07519125938415527,334,502,512,512
0.07519125938415527,331,502,512,512
0.07519125938415527,329,502,512,512
0.07519125938415527,327,502,512,512
0.07519125938415527,325,502,512,512
0.07519125938415527,324,502,512,512
0.07519125938415527,322,503,512,512
0.07519125938415527,321,502,512,512
0.07519125938415527,319,502,512,512
0.07519125938415527,317,503,512,512
0.07519125938415527,315,503,512,512
0.07519125938415527,314,503,512,512
0.07519125938415527,312,504,512,512
0.09091711044311523,311,504,512,512
0.09091711044311523,309,504,512,512
0.09091711044311523,308,505,512,512
0.09091711044311523,307,505,512,512
0.09091711044311523,306,505,512,512
0.09091711044311523,306,505,512,512
0.09091711044311523,305,505,512,512
0.09091711044311523,305,505,512,512
0.09091711044311523,305,505,512,512
0.09091711044311523,305,505,512,512
0.09091711044311523,306,505,512,512
0.09091711044311523,306,505,512,512
0.09091711044311523,306,506,512,512
0.09091711044311523,307,506,512,512
0.09091711044311523,308,506,512,512
0.09091711044311523,309,506,512,512
0.09091711044311523,310,507,512,512
0.09091711044311523,311,507,512,512
0.10670709609985352,312,507,512,512
0.10670709609985352,313,508,512,512
0.10670709609985352,314,508,512,512
0.10670709609985352,315,508,512,512
0.10670709609985352,316,508,512,512
0.10670709609985352,318,508,512,512
0.10670709609985352,319,508,512,512
0.10670709609985352,321,508,512,512
0.10670709609985352,322,508,512,512
0.10670709609985352,325,508,512,512
0.10670709609985352,327,509,512,512
0.10670709609985352,329,509,512,512
0.10670709609985352,331,509,512,512
0.10670709609985352,335,509,512,512
0.10670709609985352,338,509,512,512
0.10670709609985352,340,509,512,512
0.10670709609985352,342,509,512,512
0.10670709609985352,345,509,512,512
0.12239408493041992,347,509,512,512
0.12408447265625,350,510,512,512
0.12408447265625,352,510,512,512
0.12408447265625,355,509,512,512
0.12408447265625,358,510,512,512
0.12408447265625,361,510,512,512
0.12408447265625,363,509,512,512
0.1285414695739746,365,509,512,512
0.1285414695739746,367,509,512,512
