time,pos,cur,cmd_pos,cmd_cur
0.0,200,36,512,0
0.0,200,34,512,0
0.0,200,30,512,0
0.01587677001953125,200,32,512,0
0.01587677001953125,200,35,512,0
0.01587677001953125,200,31,512,0
0.01587677001953125,200,35,512,0
0.01587677001953125,200,33,512,0
0.01587677001953125,200,29,512,0
0.01587677001953125,200,31,512,0
0.01587677001953125,200,33,512,0
0.01587677001953125,200,29,512,0
0.01587677001953125,200,33,512,0
0.01587677001953125,200,32,512,0
0.01587677001953125,200,28,512,0
0.01587677001953125,200,30,512,0
0.01587677001953125,200,32,512,0
0.01587677001953125,200,31,512,0
0.01587677001953125,200,30,512,0
0.01587677001953125,200,35,512,0
0.01587677001953125,200,29,512,0
0.03206276893615723,200,32,512,0
0.03206276893615723,200,28,512,0
0.03206276893615723,200,33,512,0
0.03206276893615723,200,30,512,0
0.03206276893615723,200,33,512,0
0.036292076110839844,200,32,512,0
0.036292076110839844,200,31,512,0
0.036292076110839844,200,32,512,200
0.036292076110839844,200,27,512,200
0.036292076110839844,200,31,512,200
0.036292076110839844,200,25,512,200
0.036292076110839844,200,30,512,200
0.036292076110839844,200,28,512,200
0.036292076110839844,200,33,512,200
0.036292076110839844,200,32,512,200
0.036292076110839844,200,34,512,200
0.036292076110839844,200,35,512,200
0.036292076110839844,200,33,512,200
0.04736161231994629,200,30,512,200
0.04736161231994629,200,27,512,200
0.04736161231994629,200,32,512,200
0.04736161231994629,200,27,512,200
0.04736161231994629,200,32,512,200
0.04736161231994629,200,31,512,200
0.04736161231994629,200,34,512,200
0.04736161231994629,200,31,512,200
0.04736161231994629,200,31,512,200
0.04736161231994629,200,28,512,200
0.04736161231994629,200,29,512,200
0.04736161231994629,200,30,512,200
0.04736161231994629,200,31,512,200
0.04736161231994629,200,35,512,200
0.04736161231994629,240,35,512,200
0.04736161231994629,280,39,512,200
0.04736161231994629,320,34,512,200
0.04736161231994629,360,33,512,200
0.06321239471435547,400,31,512,200
0.06321239471435547,400,31,512,200
0.06321239471435547,400,32,512,200
0.06321239471435547,400,27,512,200
0.06321239471435547,400,34,512,200
0.06321239471435547,400,29,512,200
0.06321239471435547,400,35,512,200
0.06321239471435547,400,31,512,200
0.06321239471435547,400,36,512,200
0.06321239471435547,400,31,512,200
0.06321239471435547,400,32,512,200
0.06321239471435547,400,29,512,200
0.06321239471435547,400,32,512,200
0.06321239471435547,400,30,512,200
0.06321239471435547,400,33,512,200
0.06321239471435547,400,31,512,200
0.06321239471435547,400,30,512,200
0.06321239471435547,400,31,512,200
0.07901644706726074,400,27,512,200
0.07993817329406738,400,28,512,200
0.08031916618347168,400,26,512,200
0.08031916618347168,400,28,512,200
0.08031916618347168,400,30,512,200
0.08031916618347168,400,33,512,200
0.08031916618347168,400,32,512,200
0.08031916618347168,400,31,512,200
0.08031916618347168,400,36,512,200
0.08031916618347168,400,29,512,200
0.08031916618347168,400,34,512,200
0.08031916618347168,400,28,512,200
0.08031916618347168,400,32,512,200
0.08031916618347168,400,28,512,200
0.08031916618347168,400,33,512,200
0.08031916618347168,400,31,512,200
0.08031916618347168,400,34,512,200
0.08031916618347168,400,36,512,200
0.09503746032714844,400,33,512,200
0.10037994384765625,400,31,512,200
0.10037994384765625,400,28,512,200
0.10070276260375977,400,33,512,200
0.10070276260375977,400,33,512,200
0.10070276260375977,400,36,512,200
0.10070276260375977,400,36,512,200
0.10070276260375977,400,39,512,200
0.10070276260375977,400,36,512,200
0.10189437866210938,400,32,512,200
0.10365104675292969,400,29,512,200
0.10365104675292969,400,25,512,200
0.10525202751159668,400,30,512,200
0.10525202751159668,400,30,512,200
0.10683178901672363,400,34,512,200
0.10683178901672363,400,33,512,200
0.10840606689453125,400,36,512,200
0.10840606689453125,400,33,512,200
0.10996341705322266,360,32,512,200
0.11150240898132324,320,30,512,200
0.11150240898132324,260,30,512,200
0.11315608024597168,220,31,512,200
0.11315608024597168,200,30,512,200
0.11474847793579102,200,35,512,200
0.11474847793579102,200,30,512,200
0.11633586883544922,200,36,512,200
0.11757755279541016,200,32,512,200
0.11757755279541016,200,31,512,200
0.11921286582946777,200,28,512,200
0.11921286582946777,200,29,512,200
0.12096238136291504,200,30,512,200
0.12096238136291504,200,29,512,200
0.12257957458496094,200,34,512,200
0.12257957458496094,200,29,512,200
0.12432575225830078,200,35,512,200
0.12432575225830078,200,30,512,200
0.1259167194366455,200,35,512,200
0.1259167194366455,200,30,512,200
0.1275479793548584,200,31,512,200
0.12955832481384277,200,28,512,200
0.12955832481384277,200,31,512,200
0.13064241409301758,200,29,512,200
0.13064241409301758,200,32,512,200
0.13230371475219727,200,31,512,200
0.13230371475219727,200,30,512,200
0.13230371475219727,200,35,512,200
0.13230371475219727,200,29,512,200
0.13230371475219727,200,31,512,200
0.13644742965698242,200,28,512,200
0.13644742965698242,200,32,512,200
0.13644742965698242,200,33,512,200
0.13644742965698242,200,35,512,200
0.13644742965698242,200,35,512,200
0.13644742965698242,200,34,512,200
0.13644742965698242,200,33,512,200
0.14323973655700684,200,28,512,200
0.14323973655700684,200,33,512,200
0.14323973655700684,200,26,512,200
0.14323973655700684,200,31,512,200
0.14323973655700684,200,28,512,200
0.14323973655700684,200,33,512,200
0.14323973655700684,200,32,512,200
0.14323973655700684,200,34,512,200
0.14323973655700684,200,35,512,200
0.14323973655700684,200,33,512,200
0.14323973655700684,200,30,512,200
0.14323973655700684,200,28,512,200
0.14323973655700684,200,32,512,200
0.14323973655700684,200,27,512,200
0.14323973655700684,200,33,512,200
0.14323973655700684,200,32,512,200
0.14323973655700684,200,35,512,200
0.14323973655700684,200,32,512,200
0.14323973655700684,200,31,512,200
0.1588764190673828,200,28,512,200
0.1588764190673828,200,29,512,200
0.1588764190673828,240,30,512,200
0.1588764190673828,300,28,512,200
0.1588764190673828,340,34,512,200
0.1588764190673828,380,32,512,200
0.1588764190673828,400,35,512,200
0.1588764190673828,400,32,512,200
0.1588764190673828,400,33,512,200
0.1588764190673828,400,30,512,200
0.1588764190673828,400,31,512,200
0.1588764190673828,400,32,512,200
0.1588764190673828,400,27,512,200
0.1588764190673828,400,34,512,200
0.1588764190673828,400,29,512,200
0.1588764190673828,400,35,512,200
0.1588764190673828,400,30,512,200
0.1588764190673828,400,35,512,200
0.17495965957641602,400,30,512,200
0.17495965957641602,400,31,512,200
0.17495965957641602,400,29,512,200
0.17495965957641602,400,32,512,200
0.17495965957641602,400,33,512,200
0.17495965957641602,400,35,512,200
0.17495965957641602,400,38,512,200
0.17495965957641602,400,33,512,200
0.17495965957641602,400,33,512,200
0.17495965957641602,400,28,512,200
0.17495965957641602,400,29,512,200
0.17495965957641602,400,26,512,200
0.17495965957641602,400,29,512,200
0.17495965957641602,400,31,512,200
0.17495965957641602,400,34,512,200
0.17495965957641602,400,34,512,200
0.17495965957641602,400,33,512,200
0.17495965957641602,400,36,512,200
0.17495965957641602,400,30,512,200
0.19093990325927734,400,35,512,200
0.19093990325927734,400,28,512,200
0.19093990325927734,400,33,512,200
0.19093990325927734,400,28,512,200
0.19093990325927734,400,32,512,200
0.19093990325927734,400,31,512,200
0.19093990325927734,400,34,512,200
0.19093990325927734,400,32,512,200
0.19093990325927734,400,27,512,200
0.19093990325927734,400,32,512,200
0.19093990325927734,400,25,512,200
0.19093990325927734,400,30,512,200
0.19093990325927734,400,29,512,200
0.19093990325927734,400,33,512,200
0.19093990325927734,400,32,512,200
0.19093990325927734,400,34,512,200
0.19093990325927734,400,32,512,200
0.2066059112548828,400,33,512,200
0.2066059112548828,400,30,512,200
0.2066059112548828,400,32,512,200
0.20928454399108887,400,32,512,200
0.21010541915893555,400,27,512,200
0.21010541915893555,380,34,512,200
0.21010541915893555,340,31,512,200
0.21010541915893555,300,35,512,200
0.21010541915893555,260,32,512,200
0.21010541915893555,220,33,512,200
0.21010541915893555,200,30,512,200
0.21010541915893555,200,31,512,200
0.21010541915893555,200,32,512,200
0.21010541915893555,200,30,512,200
0.21010541915893555,200,36,512,200
0.21010541915893555,200,32,512,200
0.21010541915893555,200,38,512,200
0.21010541915893555,200,33,512,200
0.22237515449523926,200,34,512,200
0.22237515449523926,200,30,512,200
0.22237515449523926,200,32,512,200
0.22237515449523926,200,29,512,200
0.22237515449523926,200,30,512,200
0.22237515449523926,200,32,512,200
0.22237515449523926,200,34,512,200
0.22237515449523926,200,38,512,200
0.22237515449523926,200,33,512,200
0.22237515449523926,200,33,512,200
0.22237515449523926,200,29,512,200
0.22237515449523926,200,30,512,200
0.22237515449523926,200,27,512,200
0.22237515449523926,200,30,512,200
0.22237515449523926,200,29,512,200
0.22237515449523926,200,32,512,200
0.23645496368408203,200,31,512,200
0.23645496368408203,200,30,512,200
0.23821353912353516,200,31,512,200
