time,pos,cur,cmd_pos,cmd_cur,pos_reel,cur_reel
0.0,362,430,0,458,-602.8144690781797,428.8119686614436
0.001522064208984375,362,430,0,458,-602.8144690781797,428.8119686614436
0.001522064208984375,362,430,0,458,-602.8144690781797,428.8119686614436
0.001522064208984375,362,430,0,458,-602.8144690781797,428.8119686614436
0.001522064208984375,362,430,0,458,-602.8144690781797,428.8119686614436
0.004316091537475586,362,430,0,459,-602.8144690781797,428.8119686614436
0.004316091537475586,362,430,0,458,-602.8144690781797,428.8119686614436
0.004316091537475586,362,430,0,458,-602.8144690781797,428.8119686614436
0.004316091537475586,362,430,0,458,-602.8144690781797,428.8119686614436
0.007110118865966797,362,430,0,458,-602.8144690781797,428.8119686614436
0.007110118865966797,362,430,0,458,-602.8144690781797,428.8119686614436
0.007110118865966797,362,429,0,458,-602.8144690781797,427.8119686614436
0.009205102920532227,362,429,0,458,-602.8144690781797,427.8119686614436
0.009205102920532227,362,422,0,458,-602.8144690781797,420.8119686614436
0.012263298034667969,363,372,0,458,-601.8144690781797,370.8119686614436
0.012263298034667969,363,305,0,458,-601.8144690781797,303.8119686614436
0.012263298034667969,364,220,0,458,-600.8144690781797,218.8119686614436
0.012263298034667969,365,136,0,458,-599.8144690781797,134.8119686614436
0.014585494995117188,366,65,0,458,-598.8144690781797,63.81196866144357
0.01608896255493164,368,19,0,458,-596.8144690781797,17.811968661443572
0.01608896255493164,369,0,0,458,-595.8144690781797,-1.188031338556426
0.019496917724609375,371,0,0,458,-593.8144690781797,-1.188031338556426
0.019496917724609375,373,0,0,458,-591.8144690781797,-1.188031338556426
0.019496917724609375,376,0,0,458,-588.8144690781797,-1.188031338556426
0.019496917724609375,379,0,0,458,-585.8144690781797,-1.188031338556426
0.019496917724609375,384,0,0,458,-580.8144690781797,-1.188031338556426
0.019496917724609375,395,0,0,458,-569.8144690781797,-1.188031338556426
0.025464534759521484,405,0,0,458,-559.8144690781797,-1.188031338556426
0.025464534759521484,418,0,0,458,-546.8144690781797,-1.188031338556426
0.025464534759521484,434,0,0,458,-530.8144690781797,-1.188031338556426
0.025464534759521484,453,0,0,458,-511.81446907817974,-1.188031338556426
0.025464534759521484,476,0,0,458,-488.81446907817974,-1.188031338556426
0.025464534759521484,502,0,0,458,-462.81446907817974,-1.188031338556426
0.0297701358795166,532,0,0,458,-432.81446907817974,-1.188031338556426
0.0297701358795166,567,0,0,458,-397.81446907817974,-1.188031338556426
