k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
0,0.000000,50,430,512,430.424420,511.664033,-0.424420,0.335967
1,0.002000,50,430,512,430.424420,511.664033,-0.424420,0.335967
2,0.004000,50,430,512,430.424420,511.664033,-0.424420,0.335967
3,0.006000,50,430,512,430.424420,511.664033,-0.424420,0.335967
4,0.008000,50,430,512,430.424420,511.664033,-0.424420,0.335967
5,0.010000,50,430,512,430.424420,511.664033,-0.424420,0.335967
6,0.012000,50,430,513,430.424420,511.664033,-0.424420,1.335967
7,0.014000,50,430,513,430.424420,511.664033,-0.424420,1.335967
8,0.016000,50,430,512,430.424420,511.664033,-0.424420,0.335967
9,0.018000,50,430,512,430.424420,511.664033,-0.424420,0.335967
10,0.020000,50,430,512,430.424420,511.664033,-0.424420,0.335967
11,0.022000,50,430,512,430.424420,511.664033,-0.424420,0.335967
12,0.024000,50,430,512,430.424420,511.664033,-0.424420,0.335967
13,0.026000,50,430,512,430.424420,511.664033,-0.424420,0.335967
14,0.028000,50,429,512,430.424420,511.664033,-1.424420,0.335967
15,0.030000,50,429,508,430.424420,511.664033,-1.424420,-3.664033
16,0.032000,50,430,513,430.424420,511.664033,-0.424420,1.335967
17,0.034000,50,430,513,430.424420,511.664033,-0.424420,1.335967
18,0.036000,50,430,513,430.424420,511.664033,-0.424420,1.335967
19,0.038000,50,430,512,430.424420,511.664033,-0.424420,0.335967
20,0.040000,50,430,512,430.424420,511.664033,-0.424420,0.335967
21,0.042000,50,430,513,430.424420,511.664033,-0.424420,1.335967
22,0.044000,50,430,513,430.424420,511.664033,-0.424420,1.335967
23,0.046000,50,430,513,430.424420,511.664033,-0.424420,1.335967
24,0.048000,50,430,512,430.424420,511.664033,-0.424420,0.335967
25,0.050000,50,429,513,430.424420,511.664033,-1.424420,1.335967
26,0.052000,50,430,513,430.424420,511.664033,-0.424420,1.335967
27,0.054000,50,430,513,430.424420,511.664033,-0.424420,1.335967
28,0.056000,50,429,513,430.424420,511.664033,-1.424420,1.335967
29,0.058000,50,429,513,430.424420,511.664033,-1.424420,1.335967
30,0.060000,50,429,513,430.424420,511.664033,-1.424420,1.335967
31,0.062000,50,430,514,430.424420,511.664033,-0.424420,2.335967
32,0.064000,50,430,513,430.424420,511.664033,-0.424420,1.335967
33,0.066000,50,430,513,430.424420,511.664033,-0.424420,1.335967
34,0.068000,50,429,513,430.424420,511.664033,-1.424420,1.335967
35,0.070000,50,430,513,430.424420,511.664033,-0.424420,1.335967
36,0.072000,50,430,512,430.424420,511.664033,-0.424420,0.335967
37,0.074000,50,430,513,430.424420,511.664033,-0.424420,1.335967
38,0.076000,50,430,512,430.424420,511.664033,-0.424420,0.335967
39,0.078000,50,430,512,430.424420,511.664033,-0.424420,0.335967
40,0.080000,50,430,513,430.424420,511.664033,-0.424420,1.335967
41,0.082000,50,430,513,430.424420,511.664033,-0.424420,1.335967
42,0.084000,50,429,513,430.424420,511.664033,-1.424420,1.335967
43,0.086000,50,429,512,430.424420,511.664033,-1.424420,0.335967
44,0.088000,50,429,513,430.424420,511.664033,-1.424420,1.335967
45,0.090000,50,429,512,430.424420,511.664033,-1.424420,0.335967
46,0.092000,50,429,512,430.424420,511.664033,-1.424420,0.335967
47,0.094000,50,430,512,430.424420,511.664033,-0.424420,0.335967
48,0.096000,50,430,513,430.424420,511.664033,-0.424420,1.335967
49,0.098000,50,430,513,430.424420,511.664033,-0.424420,1.335967
50,0.100000,50,430,513,430.424420,511.664033,-0.424420,1.335967
51,0.102000,50,430,513,430.424420,511.664033,-0.424420,1.335967
52,0.104000,50,430,512,430.424420,511.664033,-0.424420,0.335967
53,0.106000,50,430,512,430.424420,511.664033,-0.424420,0.335967
54,0.108000,50,430,512,430.424420,511.664033,-0.424420,0.335967
55,0.110000,50,430,512,430.424420,511.664033,-0.424420,0.335967
56,0.112000,50,430,512,430.424420,511.664033,-0.424420,0.335967
57,0.114000,50,430,513,430.424420,511.664033,-0.424420,1.335967
58,0.116000,50,430,513,430.424420,511.664033,-0.424420,1.335967
59,0.118000,50,430,514,430.424420,511.664033,-0.424420,2.335967
60,0.120000,50,431,513,430.424420,511.664033,0.575580,1.335967
61,0.122000,50,430,513,430.424420,511.664033,-0.424420,1.335967
62,0.124000,50,430,512,430.424420,511.664033,-0.424420,0.335967
63,0.126000,50,430,513,430.424420,511.664033,-0.424420,1.335967
64,0.128000,50,430,513,430.424420,511.664033,-0.424420,1.335967
65,0.130000,50,431,513,430.424420,511.664033,0.575580,1.335967
66,0.132000,50,430,513,430.424420,511.664033,-0.424420,1.335967
67,0.134000,50,430,513,430.424420,511.664033,-0.424420,1.335967
68,0.136000,50,430,513,430.424420,511.664033,-0.424420,1.335967
69,0.138000,50,431,514,430.424420,511.664033,0.575580,2.335967
70,0.140000,50,430,512,430.424420,511.664033,-0.424420,0.335967
71,0.142000,50,430,512,430.424420,511.664033,-0.424420,0.335967
72,0.144000,50,430,511,430.424420,511.664033,-0.424420,-0.664033
73,0.146000,50,431,512,430.424420,511.664033,0.575580,0.335967
74,0.148000,50,431,513,430.424420,511.664033,0.575580,1.335967
75,0.150000,50,431,513,430.424420,511.664033,0.575580,1.335967
76,0.152000,50,431,513,430.424420,511.664033,0.575580,1.335967
77,0.154000,50,430,513,430.424420,511.664033,-0.424420,1.335967
78,0.156000,50,431,513,430.424420,511.664033,0.575580,1.335967
79,0.158000,50,430,513,430.424420,511.664033,-0.424420,1.335967
80,0.160000,50,430,513,430.424420,511.664033,-0.424420,1.335967
81,0.162000,50,430,512,430.424420,511.664033,-0.424420,0.335967
82,0.164000,50,430,512,430.424420,511.664033,-0.424420,0.335967
83,0.166000,50,431,513,430.424420,511.664033,0.575580,1.335967
84,0.168000,50,430,513,430.424420,511.664033,-0.424420,1.335967
85,0.170000,50,430,514,430.424420,511.664033,-0.424420,2.335967
86,0.172000,50,430,514,430.424420,511.664033,-0.424420,2.335967
87,0.174000,50,431,513,430.424420,511.664033,0.575580,1.335967
88,0.176000,50,431,513,430.424420,511.664033,0.575580,1.335967
89,0.178000,50,431,512,430.424420,511.664033,0.575580,0.335967
