k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
0,0.000000,50,27220,44545,24864.370722,24867.595662,2355.629278,19677.404338
1,0.002000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
2,0.004000,50,1,27476,24864.370722,24867.595662,-24863.370722,2608.404338
3,0.006000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
4,0.008000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
5,0.010000,50,27476,44545,24864.370722,24867.595662,2611.629278,19677.404338
6,0.012000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
7,0.014000,50,1,27476,24864.370722,24867.595662,-24863.370722,2608.404338
8,0.016000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
9,0.018000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
10,0.020000,50,27476,44289,24864.370722,24867.595662,2611.629278,19421.404338
11,0.022000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
12,0.024000,50,1,27476,24864.370722,24867.595662,-24863.370722,2608.404338
13,0.026000,50,44289,1,24864.370722,24867.595662,19424.629278,-24866.595662
14,0.028000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
15,0.030000,50,27476,44289,24864.370722,24867.595662,2611.629278,19421.404338
16,0.032000,50,1,51968,24864.370722,24867.595662,-24863.370722,27100.404338
17,0.034000,50,1,27476,24864.370722,24867.595662,-24863.370722,2608.404338
18,0.036000,50,44289,1,24864.370722,24867.595662,19424.629278,-24866.595662
19,0.038000,50,51968,1,24864.370722,24867.595662,27103.629278,-24866.595662
20,0.040000,50,27732,44289,24864.370722,24867.595662,2867.629278,19421.404338
21,0.042000,50,1,51968,24864.370722,24867.595662,-24863.370722,27100.404338
22,0.044000,50,1,27732,24864.370722,24867.595662,-24863.370722,2864.404338
23,0.046000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
24,0.048000,50,51968,1,24864.370722,24867.595662,27103.629278,-24866.595662
25,0.050000,50,27732,44545,24864.370722,24867.595662,2867.629278,19677.404338
26,0.052000,50,1,51968,24864.370722,24867.595662,-24863.370722,27100.404338
27,0.054000,50,1,27732,24864.370722,24867.595662,-24863.370722,2864.404338
28,0.056000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
29,0.058000,50,51968,1,24864.370722,24867.595662,27103.629278,-24866.595662
30,0.060000,50,27732,44801,24864.370722,24867.595662,2867.629278,19933.404338
31,0.062000,50,1,51968,24864.370722,24867.595662,-24863.370722,27100.404338
32,0.064000,50,1,27732,24864.370722,24867.595662,-24863.370722,2864.404338
33,0.066000,50,44801,1,24864.370722,24867.595662,19936.629278,-24866.595662
34,0.068000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
35,0.070000,50,27732,44801,24864.370722,24867.595662,2867.629278,19933.404338
36,0.072000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
37,0.074000,50,1,27988,24864.370722,24867.595662,-24863.370722,3120.404338
38,0.076000,50,44801,1,24864.370722,24867.595662,19936.629278,-24866.595662
39,0.078000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
40,0.080000,50,27988,44801,24864.370722,24867.595662,3123.629278,19933.404338
41,0.082000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
42,0.084000,50,1,27988,24864.370722,24867.595662,-24863.370722,3120.404338
43,0.086000,50,44801,1,24864.370722,24867.595662,19936.629278,-24866.595662
44,0.088000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
45,0.090000,50,28244,44545,24864.370722,24867.595662,3379.629278,19677.404338
46,0.092000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
47,0.094000,50,1,28244,24864.370722,24867.595662,-24863.370722,3376.404338
48,0.096000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
49,0.098000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
50,0.100000,50,28244,44545,24864.370722,24867.595662,3379.629278,19677.404338
51,0.102000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
52,0.104000,50,1,28244,24864.370722,24867.595662,-24863.370722,3376.404338
53,0.106000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
54,0.108000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
55,0.110000,50,28244,44545,24864.370722,24867.595662,3379.629278,19677.404338
56,0.112000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
57,0.114000,50,1,28244,24864.370722,24867.595662,-24863.370722,3376.404338
58,0.116000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
59,0.118000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
60,0.120000,50,28500,44545,24864.370722,24867.595662,3635.629278,19677.404338
61,0.122000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
62,0.124000,50,1,28500,24864.370722,24867.595662,-24863.370722,3632.404338
63,0.126000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
64,0.128000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
65,0.130000,50,28500,44545,24864.370722,24867.595662,3635.629278,19677.404338
66,0.132000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
67,0.134000,50,1,28500,24864.370722,24867.595662,-24863.370722,3632.404338
68,0.136000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
69,0.138000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
70,0.140000,50,28500,44545,24864.370722,24867.595662,3635.629278,19677.404338
71,0.142000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
72,0.144000,50,1,28500,24864.370722,24867.595662,-24863.370722,3632.404338
73,0.146000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
74,0.148000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
75,0.150000,50,28756,44545,24864.370722,24867.595662,3891.629278,19677.404338
76,0.152000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
77,0.154000,50,1,28756,24864.370722,24867.595662,-24863.370722,3888.404338
78,0.156000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
79,0.158000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
80,0.160000,50,28756,44545,24864.370722,24867.595662,3891.629278,19677.404338
81,0.162000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
82,0.164000,50,1,28756,24864.370722,24867.595662,-24863.370722,3888.404338
83,0.166000,50,44545,1,24864.370722,24867.595662,19680.629278,-24866.595662
84,0.168000,50,51712,1,24864.370722,24867.595662,26847.629278,-24866.595662
85,0.170000,50,28756,44545,24864.370722,24867.595662,3891.629278,19677.404338
86,0.172000,50,1,51712,24864.370722,24867.595662,-24863.370722,26844.404338
87,0.174000,50,1,28756,24864.370722,24867.595662,-24863.370722,3888.404338
