k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
0,0.000000,50,27988,44801,24854.391999,24857.569482,3133.608001,19943.430518
1,0.002000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
2,0.004000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
3,0.006000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
4,0.008000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
5,0.010000,50,27988,44545,24854.391999,24857.569482,3133.608001,19687.430518
6,0.012000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
7,0.014000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
8,0.016000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
9,0.018000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
10,0.020000,50,27988,44545,24854.391999,24857.569482,3133.608001,19687.430518
11,0.022000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
12,0.024000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
13,0.026000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
14,0.028000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
15,0.030000,50,27988,44545,24854.391999,24857.569482,3133.608001,19687.430518
16,0.032000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
17,0.034000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
18,0.036000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
19,0.038000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
20,0.040000,50,27988,44289,24854.391999,24857.569482,3133.608001,19431.430518
21,0.042000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
22,0.044000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
23,0.046000,50,44289,1,24854.391999,24857.569482,19434.608001,-24856.569482
24,0.048000,50,51968,1,24854.391999,24857.569482,27113.608001,-24856.569482
25,0.050000,50,27988,44289,24854.391999,24857.569482,3133.608001,19431.430518
26,0.052000,50,1,51968,24854.391999,24857.569482,-24853.391999,27110.430518
27,0.054000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
28,0.056000,50,44289,1,24854.391999,24857.569482,19434.608001,-24856.569482
29,0.058000,50,51968,1,24854.391999,24857.569482,27113.608001,-24856.569482
30,0.060000,50,27988,44289,24854.391999,24857.569482,3133.608001,19431.430518
31,0.062000,50,1,51968,24854.391999,24857.569482,-24853.391999,27110.430518
32,0.064000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
33,0.066000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
34,0.068000,50,51968,1,24854.391999,24857.569482,27113.608001,-24856.569482
35,0.070000,50,27988,44545,24854.391999,24857.569482,3133.608001,19687.430518
36,0.072000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
37,0.074000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
38,0.076000,50,44801,1,24854.391999,24857.569482,19946.608001,-24856.569482
39,0.078000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
40,0.080000,50,27988,44801,24854.391999,24857.569482,3133.608001,19943.430518
41,0.082000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
42,0.084000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
43,0.086000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
44,0.088000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
45,0.090000,50,27988,44545,24854.391999,24857.569482,3133.608001,19687.430518
46,0.092000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
47,0.094000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
48,0.096000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
49,0.098000,50,51712,1,24854.391999,24857.569482,26857.608001,-24856.569482
50,0.100000,50,27988,44545,24854.391999,24857.569482,3133.608001,19687.430518
51,0.102000,50,1,51712,24854.391999,24857.569482,-24853.391999,26854.430518
52,0.104000,50,1,27988,24854.391999,24857.569482,-24853.391999,3130.430518
53,0.106000,50,44545,1,24854.391999,24857.569482,19690.608001,-24856.569482
