k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
93,0.186000,50,1,0,0.038654,0.000000,0.961346,0.000000
94,0.188000,50,0,0,0.038654,0.000000,-0.038654,0.000000
95,0.190000,50,0,0,0.038654,0.000000,-0.038654,0.000000
96,0.192000,50,0,0,0.038654,0.000000,-0.038654,0.000000
97,0.194000,50,0,0,0.038654,0.000000,-0.038654,0.000000
98,0.196000,50,0,0,0.038654,0.000000,-0.038654,0.000000
99,0.198000,50,0,0,0.038654,0.000000,-0.038654,0.000000
100,0.200000,50,0,0,0.038654,0.000000,-0.038654,0.000000
101,0.202000,50,0,0,0.038654,0.000000,-0.038654,0.000000
102,0.204000,50,0,0,0.038654,0.000000,-0.038654,0.000000
103,0.206000,50,0,0,0.038654,0.000000,-0.038654,0.000000
104,0.208000,50,0,0,0.038654,0.000000,-0.038654,0.000000
105,0.210000,50,0,0,0.038654,0.000000,-0.038654,0.000000
106,0.212000,50,0,0,0.038654,0.000000,-0.038654,0.000000
107,0.214000,50,0,0,0.038654,0.000000,-0.038654,0.000000
108,0.216000,50,0,0,0.038654,0.000000,-0.038654,0.000000
109,0.218000,50,0,0,0.038654,0.000000,-0.038654,0.000000
110,0.220000,50,0,0,0.038654,0.000000,-0.038654,0.000000
111,0.222000,50,0,0,0.038654,0.000000,-0.038654,0.000000
112,0.224000,50,0,0,0.038654,0.000000,-0.038654,0.000000
113,0.226000,50,1,0,0.038654,0.000000,0.961346,0.000000
114,0.228000,50,0,0,0.038654,0.000000,-0.038654,0.000000
115,0.230000,50,0,0,0.038654,0.000000,-0.038654,0.000000
116,0.232000,50,0,0,0.038654,0.000000,-0.038654,0.000000
117,0.234000,50,0,0,0.038654,0.000000,-0.038654,0.000000
118,0.236000,50,0,0,0.038654,0.000000,-0.038654,0.000000
119,0.238000,50,0,0,0.038654,0.000000,-0.038654,0.000000
120,0.240000,50,0,0,0.038654,0.000000,-0.038654,0.000000
121,0.242000,50,0,0,0.038654,0.000000,-0.038654,0.000000
122,0.244000,50,0,0,0.038654,0.000000,-0.038654,0.000000
123,0.246000,50,0,0,0.038654,0.000000,-0.038654,0.000000
124,0.248000,50,0,0,0.038654,0.000000,-0.038654,0.000000
125,0.250000,50,0,0,0.038654,0.000000,-0.038654,0.000000
126,0.252000,50,0,0,0.038654,0.000000,-0.038654,0.000000
127,0.254000,50,0,0,0.038654,0.000000,-0.038654,0.000000
128,0.256000,50,0,0,0.038654,0.000000,-0.038654,0.000000
129,0.258000,50,0,0,0.038654,0.000000,-0.038654,0.000000
130,0.260000,50,0,0,0.038654,0.000000,-0.038654,0.000000
131,0.262000,50,0,0,0.038654,0.000000,-0.038654,0.000000
132,0.264000,50,0,0,0.038654,0.000000,-0.038654,0.000000
133,0.266000,50,0,0,0.038654,0.000000,-0.038654,0.000000
134,0.268000,50,0,0,0.038654,0.000000,-0.038654,0.000000
135,0.270000,50,0,0,0.038654,0.000000,-0.038654,0.000000
136,0.272000,50,0,0,0.038654,0.000000,-0.038654,0.000000
137,0.274000,50,1,0,0.038654,0.000000,0.961346,0.000000
138,0.276000,50,0,0,0.038654,0.000000,-0.038654,0.000000
139,0.278000,50,0,0,0.038654,0.000000,-0.038654,0.000000
140,0.280000,50,0,0,0.038654,0.000000,-0.038654,0.000000
141,0.282000,50,0,0,0.038654,0.000000,-0.038654,0.000000
142,0.284000,50,0,0,0.038654,0.000000,-0.038654,0.000000
143,0.286000,50,0,0,0.038654,0.000000,-0.038654,0.000000
144,0.288000,50,0,0,0.038654,0.000000,-0.038654,0.000000
145,0.290000,50,0,0,0.038654,0.000000,-0.038654,0.000000
146,0.292000,50,0,0,0.038654,0.000000,-0.038654,0.000000
147,0.294000,50,0,0,0.038654,0.000000,-0.038654,0.000000
148,0.296000,50,0,0,0.038654,0.000000,-0.038654,0.000000
149,0.298000,50,0,0,0.038654,0.000000,-0.038654,0.000000
150,0.300000,50,0,0,0.038654,0.000000,-0.038654,0.000000
151,0.302000,50,0,0,0.038654,0.000000,-0.038654,0.000000
152,0.304000,50,0,0,0.038654,0.000000,-0.038654,0.000000
153,0.306000,50,0,0,0.038654,0.000000,-0.038654,0.000000
154,0.308000,50,0,0,0.038654,0.000000,-0.038654,0.000000
155,0.310000,50,0,0,0.038654,0.000000,-0.038654,0.000000
156,0.312000,50,0,0,0.038654,0.000000,-0.038654,0.000000
157,0.314000,50,0,0,0.038654,0.000000,-0.038654,0.000000
158,0.316000,50,0,0,0.038654,0.000000,-0.038654,0.000000
159,0.318000,50,0,0,0.038654,0.000000,-0.038654,0.000000
160,0.320000,50,0,0,0.038654,0.000000,-0.038654,0.000000
161,0.322000,50,0,0,0.038654,0.000000,-0.038654,0.000000
162,0.324000,50,0,0,0.038654,0.000000,-0.038654,0.000000
